City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Felanitx,ES,60.96,broken clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
479,Pringsewu,ID,76.12,overcast clouds,-5.3582,104.9744,Urban Style by Front One
482,Lucapa,AO,64.81,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
483,Lavumisa,SZ,69.12,light rain,-27.31,31.892,ROADSIDE B&B
484,Chhoti Sadri,IN,77.59,broken clouds,24.3833,74.7,Krishna Kunj
485,Vao,NC,69.93,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
486,Gorgan,IR,64.36,overcast clouds,36.8387,54.4348,Khayyam Motel
488,Broome,US,66.83,clear sky,42.2506,-75.833,Chenango Valley State Park
491,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
496,Gladstone,AU,79.79,clear sky,-23.85,151.25,Highpoint International
498,Pemba,MZ,76.3,scattered clouds,-12.974,40.5178,Guesthouse Samotina
500,San Jose,US,72.72,broken clouds,37.3394,-121.895,The Westin San Jose
501,Akyab,MM,78.87,scattered clouds,20.15,92.9,Hotel Memory
504,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
508,Selcuk,TR,65.01,clear sky,37.9514,27.3685,Archeologica House Ephesus
509,Avera,US,73.27,light rain,33.194,-82.5271,
511,Usoke,TZ,71.29,scattered clouds,-5.1667,32.35,
518,Farafangana,MG,66.87,light rain,-22.8167,47.8333,Miarina
521,Ponta Delgada,PT,75.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
526,Linden,GY,78.94,moderate rain,6.0,-58.3,Crimson Bat Hotel
529,Bonthe,SL,78.04,light rain,7.5264,-12.505,Bonthe Holiday Village
531,Manjacaze,MZ,68.54,overcast clouds,-24.7117,33.8828,Hotel Gani
532,Hobyo,SO,77.9,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
534,San-Pedro,CI,76.96,light rain,4.7485,-6.6363,Hotel Maria
535,Kyaukse,MM,77.07,scattered clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
536,Srandakan,ID,77.59,overcast clouds,-7.9386,110.2506,Puri Brata
537,Piacabucu,BR,75.24,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
538,Sestri Levante,IT,66.11,broken clouds,44.2732,9.3968,Grande Albergo
539,Antalaha,MG,67.01,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
540,Montague,US,64.31,few clouds,42.5356,-72.5351,Two Rivers Bed and Breakfast
541,Huambo,AO,63.3,overcast clouds,-12.7761,15.7392,SiSHotel
544,Pangoa,PE,75.06,overcast clouds,-12.1167,-73.0,
547,Mizan Teferi,ET,61.66,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
550,Chopda,IN,78.44,scattered clouds,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
551,Tabou,CI,77.77,broken clouds,4.423,-7.3528,hotêl doufoulougou
554,Greensboro,US,73.35,broken clouds,36.0726,-79.792,Marriott Greensboro Downtown
557,Harper,LR,77.92,broken clouds,4.375,-7.7169,Screensaver
560,Mandeville,JM,77.05,overcast clouds,18.0417,-77.5071,Mandeville Hotel
561,Odienne,CI,72.39,broken clouds,9.51,-7.5692,Oustaz Vame DIAKITE
562,Maun,BW,73.36,clear sky,-19.9833,23.4167,Enviro Villa
563,Mega,ET,63.55,overcast clouds,4.05,38.3,Amanuel Guest House
564,Fukuma,JP,79.03,clear sky,33.7667,130.4667,Masago
565,Odweyne,SO,75.99,overcast clouds,9.4092,45.064,Eng Hiirey House
566,Muramatsu,JP,66.22,few clouds,37.6833,139.1833,若松屋旅館
567,Amapa,BR,75.24,overcast clouds,1.0,-52.0,
570,Naze,JP,77.92,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
572,Mandiana,GN,77.41,broken clouds,10.6333,-8.6833,Motels rouzo
573,Helena,US,71.35,broken clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
575,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
577,Vilhena,BR,79.02,light rain,-12.7406,-60.1458,Hotel Mirage
583,Santiago Tuxtla,MX,73.9,broken clouds,18.4667,-95.3,Hotel Santiago Plaza
585,Iguape,BR,67.5,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
587,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
590,Jardim,BR,78.71,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
591,Denpasar,ID,76.71,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
593,Dong Hoi,VN,77.38,overcast clouds,17.4833,106.6,Nam Long Hotel
595,Paita,PE,68.56,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
598,Praia Da Vitoria,PT,73.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
599,Gimli,CA,79.43,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
606,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
608,Yamada,JP,61.54,broken clouds,39.4667,141.95,Iroha-ya Inn
609,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
611,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
612,Soyo,AO,76.01,overcast clouds,-6.1349,12.3689,Hotel Mpampa
