City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Husavik,IS,2021-10-02 12:34:50,66.0449,-17.3389,40.91,98,100,24.81
271,Benghazi,LY,2021-10-02 12:40:49,32.1167,20.0667,76.96,55,3,15.39
272,Altamira,BR,2021-10-02 12:40:49,-3.2033,-52.2064,75.88,93,100,2.04
273,Cayenne,GF,2021-10-02 12:36:59,4.9333,-52.3333,87.84,74,20,1.99
274,Guerrero Negro,MX,2021-10-02 12:35:16,27.9769,-114.0611,68.77,85,0,3.69
275,Kruisfontein,ZA,2021-10-02 12:35:15,-34.0033,24.7314,56.88,72,100,26.64
276,Salalah,OM,2021-10-02 12:34:39,17.0151,54.0924,84.29,84,75,14.97
277,Berdigestyakh,RU,2021-10-02 12:40:50,62.0989,126.6992,28.04,84,11,3.74
278,Pitimbu,BR,2021-10-02 12:40:50,-7.4706,-34.8086,82.99,70,6,13.11
279,Sitka,US,2021-10-02 12:36:12,57.0531,-135.33,45.9,87,99,24.32
280,Fare,PF,2021-10-02 12:40:51,-16.7,-151.0167,78.67,72,7,21.81
281,Sokolo,ML,2021-10-02 12:35:32,14.7328,-6.1219,97.77,28,59,5.77
282,Vila Velha,BR,2021-10-02 12:35:07,-20.3297,-40.2925,84.15,61,0,13.8
283,Mozarlandia,BR,2021-10-02 12:40:51,-14.7447,-50.5706,92.25,39,6,4.79
284,Charters Towers,AU,2021-10-02 12:40:51,-20.1,146.2667,71.01,52,5,3.06
285,Fairbanks,US,2021-10-02 12:36:41,64.8378,-147.7164,29.61,94,90,5.75
286,Bereda,ES,2021-10-02 12:40:52,43.2686,-7.5406,67.01,86,100,10.94
287,Imaculada,BR,2021-10-02 12:40:52,-7.3897,-37.5092,82.96,40,5,9.95
288,Pevek,RU,2021-10-02 12:35:43,69.7008,170.3133,22.37,64,19,18.16
289,Fortuna,US,2021-10-02 12:35:21,40.5982,-124.1573,54.36,74,90,0.0
290,Kyshtovka,RU,2021-10-02 12:40:53,56.555,76.6271,35.44,84,100,8.99
291,Cidreira,BR,2021-10-02 12:35:12,-30.1811,-50.2056,66.13,66,14,6.31
292,Mayo,US,2021-10-02 12:36:51,38.8876,-76.5119,62.26,92,1,1.99
